Membership No  Date Joined  Active  
    61501      2020-8-6     no    
    73545      2019-11-13   no    
    30433      2017-6-2     yes   
    37454      2015-9-13    yes   
    42686      2015-7-11    yes   
    50651      2020-12-24   yes   
    70708      2018-7-3     no    
    52195      2016-10-15   no    
    78396      2017-5-19    no    
    71879      2018-6-8     yes   
    23597      2017-2-11    yes   
    39222      2020-1-16    yes   
    71711      2016-11-23   no    
    80207      2015-6-4     yes   
    70032      2016-2-18    no    
    72359      2019-6-13    yes   
    42557      2017-9-11    yes   
    35891      2015-4-9     no    
    83707      2017-5-23    no    
    93273      2018-12-20   no    
