Membership No  Date Joined  Active  
    36429      2015-10-19   no    
    50146      2020-6-18    yes   
    48411      2016-9-10    no    
    23007      2015-11-21   yes   
    33122      2016-7-14    no    
    24252      2016-6-5     no    
    63583      2017-12-20   yes   
    13864      2016-6-16    yes   
    70086      2015-6-20    no    
    88754      2020-3-17    no    
    10748      2020-3-23    yes   
    98724      2017-6-8     yes   
    93627      2019-4-17    yes   
    37400      2016-6-3     no    
    77802      2018-10-9    yes   
    45350      2019-8-3     yes   
    75860      2019-8-13    no    
    36587      2016-10-11   yes   
    53532      2019-6-8     no    
    43549      2019-10-1    yes   
